System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Metallic_NEW"
Test type,,"Compression"
Sample file name,,"N02D1045NM"
Last test date,,"8/31/2026"
Last test time,,"5:00:11 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"Steel 1045"
Heat Treatment,,"NM"
Other Information,,""
Crosshead Speed,(mm/min),"2.50"
Geometry,,"Circular"
Diameter,(mm),"12.54"
Length,(mm),"40.05"
Extensometer Gage Length,(mm),"25.40"
Rockwell Hardness,,"88.5"
Rockwell Scale,,"HRB"
Final Diameter,,"12.98"
Final Length,,"37.49"
Final Specimen State,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"100.0"
Maximum Strain,(%),"5.758"

Time,Displacement,Force,Composite strain
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.003130","0.00004837"
"0.50","0.02","-0.003729","0.00004902"
"1.00","0.04","-0.003586","0.00005447"
"1.50","0.06","-0.004074","0.00004594"
"2.00","0.08","-0.004002","0.00005539"
"2.50","0.10","0.2765","0.00007049"
"3.00","0.13","0.9136","0.0001369"
"3.50","0.15","1.571","0.0001925"
"4.00","0.17","2.297","0.0002418"
"4.50","0.19","3.339","0.0003006"
"5.00","0.21","4.564","0.0003622"
"5.50","0.23","5.899","0.0004142"
"6.00","0.25","7.304","0.0004681"
"6.50","0.27","8.782","0.0005194"
"7.00","0.29","10.30","0.0005780"
"7.50","0.31","11.85","0.0006284"
"8.00","0.33","13.41","0.0006822"
"8.50","0.35","15.01","0.0007286"
"9.00","0.38","16.60","0.0007792"
"9.50","0.40","18.22","0.0008381"
"10.00","0.42","19.86","0.0008906"
"10.50","0.44","21.51","0.0009476"
"11.00","0.46","23.15","0.001001"
"11.50","0.48","24.79","0.001053"
"12.00","0.50","26.41","0.001116"
"12.50","0.52","28.03","0.001165"
"13.00","0.54","29.67","0.001218"
"13.50","0.56","31.31","0.001271"
"14.00","0.58","32.96","0.001318"
"14.50","0.60","34.60","0.001364"
"15.00","0.63","36.23","0.001424"
"15.50","0.65","37.82","0.001469"
"16.00","0.67","39.41","0.001510"
"16.50","0.69","40.96","0.001552"
"17.00","0.71","42.50","0.001592"
"17.50","0.73","43.99","0.001625"
"18.00","0.75","45.43","0.001653"
"18.50","0.77","46.69","0.001690"
"19.00","0.79","47.70","0.001726"
"19.50","0.81","48.30","0.001738"
"20.00","0.83","48.62","0.001738"
"20.50","0.85","48.72","0.001919"
"21.00","0.88","48.84","0.002151"
"21.50","0.90","48.99","0.002440"
"22.00","0.92","49.21","0.002779"
"22.50","0.94","49.45","0.003140"
"23.00","0.96","49.75","0.003516"
"23.50","0.98","50.06","0.003911"
"24.00","1.00","50.41","0.004337"
"24.50","1.02","50.72","0.004787"
"25.00","1.04","50.94","0.005310"
"25.50","1.06","50.25","0.006320"
"26.00","1.08","50.85","0.006798"
"26.50","1.10","51.54","0.007212"
"27.00","1.13","52.13","0.007595"
"27.50","1.15","52.68","0.007963"
"28.00","1.17","53.19","0.008312"
"28.50","1.19","53.72","0.008643"
"29.00","1.21","54.22","0.008968"
"29.50","1.23","54.73","0.009283"
"30.00","1.25","55.23","0.009595"
"30.50","1.27","55.74","0.009888"
"31.00","1.29","56.24","0.01019"
"31.50","1.31","56.74","0.01050"
"32.00","1.33","57.25","0.01084"
"32.50","1.35","57.74","0.01118"
"33.00","1.38","58.23","0.01151"
"33.50","1.40","58.71","0.01185"
"34.00","1.42","59.20","0.01220"
"34.50","1.44","59.67","0.01252"
"35.00","1.46","60.16","0.01283"
"35.50","1.48","60.64","0.01317"
"36.00","1.50","61.14","0.01350"
"36.50","1.52","61.60","0.01382"
"37.00","1.54","62.08","0.01415"
"37.50","1.56","62.55","0.01451"
"38.00","1.58","63.02","0.01487"
"38.50","1.60","63.47","0.01523"
"39.00","1.62","63.94","0.01560"
"39.50","1.65","64.40","0.01598"
"40.00","1.67","64.87","0.01635"
"40.50","1.69","65.31","0.01672"
"41.00","1.71","65.78","0.01705"
"41.50","1.73","66.22","0.01739"
"42.00","1.75","66.66","0.01773"
"42.50","1.77","67.12","0.01808"
"43.00","1.79","67.55","0.01844"
"43.50","1.81","68.00","0.01879"
"44.00","1.83","68.42","0.01917"
"44.50","1.85","68.88","0.01952"
"45.00","1.88","69.30","0.01988"
"45.50","1.90","69.74","0.02022"
"46.00","1.92","70.16","0.02056"
"46.50","1.94","70.59","0.02090"
"47.00","1.96","71.01","0.02127"
"47.50","1.98","71.42","0.02165"
"48.00","2.00","71.84","0.02201"
"48.50","2.02","72.24","0.02238"
"49.00","2.04","72.66","0.02271"
"49.50","2.06","73.08","0.02306"
"50.00","2.08","73.48","0.02345"
"50.50","2.10","73.88","0.02382"
"51.00","2.13","74.29","0.02419"
"51.50","2.15","74.68","0.02454"
"52.00","2.17","75.06","0.02492"
"52.50","2.19","75.44","0.02530"
"53.00","2.21","75.84","0.02566"
"53.50","2.23","76.21","0.02604"
"54.00","2.25","76.61","0.02641"
"54.50","2.27","76.99","0.02676"
"55.00","2.29","77.38","0.02712"
"55.50","2.31","77.74","0.02746"
"56.00","2.33","78.10","0.02782"
"56.50","2.35","78.46","0.02818"
"57.00","2.37","78.84","0.02857"
"57.50","2.40","79.18","0.02897"
"58.00","2.42","79.56","0.02936"
"58.50","2.44","79.91","0.02975"
"59.00","2.46","80.27","0.03013"
"59.50","2.48","80.62","0.03049"
"60.00","2.50","80.95","0.03089"
"60.50","2.52","81.32","0.03124"
"61.00","2.54","81.64","0.03159"
"61.50","2.56","81.97","0.03195"
"62.00","2.58","82.30","0.03233"
"62.50","2.60","82.65","0.03267"
"63.00","2.63","82.98","0.03304"
"63.50","2.65","83.31","0.03341"
"64.00","2.67","83.62","0.03380"
"64.50","2.69","83.96","0.03417"
"65.00","2.71","84.26","0.03451"
"65.50","2.73","84.59","0.03486"
"66.00","2.75","84.89","0.03523"
"66.50","2.77","85.20","0.03561"
"67.00","2.79","85.52","0.03600"
"67.50","2.81","85.82","0.03642"
"68.00","2.83","86.14","0.03684"
"68.50","2.85","86.45","0.03722"
"69.00","2.88","86.75","0.03759"
"69.50","2.90","87.03","0.03798"
"70.00","2.92","87.33","0.03832"
"70.50","2.94","87.61","0.03870"
"71.00","2.96","87.91","0.03906"
"71.50","2.98","88.19","0.03941"
"72.00","3.00","88.49","0.03977"
"72.50","3.02","88.77","0.04014"
"73.00","3.04","89.05","0.04050"
"73.50","3.06","89.33","0.04087"
"74.00","3.08","89.60","0.04124"
"74.50","3.10","89.87","0.04159"
"75.00","3.13","90.14","0.04195"
"75.50","3.15","90.40","0.04230"
"76.00","3.17","90.66","0.04265"
"76.50","3.19","90.95","0.04302"
"77.00","3.21","91.20","0.04340"
"77.50","3.23","91.48","0.04377"
"78.00","3.25","91.73","0.04415"
"78.50","3.27","92.00","0.04453"
"79.00","3.29","92.23","0.04492"
"79.50","3.31","92.49","0.04530"
"80.00","3.33","92.73","0.04567"
"80.50","3.35","92.99","0.04609"
"81.00","3.37","93.24","0.04645"
"81.50","3.40","93.49","0.04681"
"82.00","3.42","93.73","0.04718"
"82.50","3.44","93.98","0.04753"
"83.00","3.46","94.23","0.04787"
"83.50","3.48","94.46","0.04820"
"84.00","3.50","94.70","0.04857"
"84.50","3.52","94.91","0.04900"
"85.00","3.54","95.16","0.04943"
"85.50","3.56","95.39","0.04983"
"86.00","3.58","95.64","0.05021"
"86.50","3.60","95.84","0.05062"
"87.00","3.63","96.09","0.05102"
"87.50","3.65","96.32","0.05145"
"88.00","3.67","96.54","0.05187"
"88.50","3.69","96.75","0.05217"
"89.00","3.71","96.97","0.05252"
"89.50","3.73","97.18","0.05287"
"90.00","3.75","97.40","0.05321"
"90.50","3.77","97.62","0.05354"
"91.00","3.79","97.83","0.05384"
"91.50","3.81","98.05","0.05421"
"92.00","3.83","98.26","0.05459"
"92.50","3.85","98.46","0.05496"
"93.00","3.88","98.67","0.05533"
"93.50","3.90","98.87","0.05563"
"94.00","3.92","99.08","0.05593"
"94.50","3.94","99.29","0.05622"
"95.00","3.96","99.48","0.05654"
"95.50","3.98","99.70","0.05696"
"96.00","4.00","99.88","0.05743"
"96.28","4.01","100.0","0.05758"

