*7075-T6_AL/BHN	4340Stl/BHN	7075-T6_AL/HRB	4340Stl/HRB	7075-T6_AL/HRC	4340Stl/HRC
 154.0	 711.0	  82.6	 121.8	   0.8	  62.1
   0.0	 696.0	  82.7	 121.4	   0.0	  59.8
 153.0	   0.0	  81.9	 120.5	  -1.2	  61.0
   0.0	 728.0	  83.7	 123.0	   0.5	  62.2
 150.0	   0.0	  83.1	 121.7	   0.4	  60.2
   0.0	 783.0	  82.3	 122.3	   0.5	  61.2
   0.0	 717.0	  83.0	 120.4	  -1.9	  60.9
 152.0	   0.0	  82.9	 121.6	  -0.4	  62.3
   0.0	 717.0	  83.3	 120.3	  -1.0	  60.4
   0.0	 709.0	  82.3	 122.3	   0.5	  61.6
 150.0	   0.0	  82.5	 121.0	   1.2	  60.3
 146.0	 729.0	  82.4	 120.4	   0.5	  60.6
 146.0	   0.0	  82.0	 122.6	   0.4	  59.9
   0.0	 719.0	  84.0	 121.1	   0.3	  61.0
   0.0	 782.0	  83.2	 121.2	  -0.7	  65.6
   0.0	   0.0	   0.0	   0.0	   0.0	   0.0
   0.0	   0.0	   0.0	   0.0	   0.0	   0.0
   0.0	   0.0	   0.0	   0.0	   0.0	   0.0
   0.0	   0.0	   0.0	   0.0	   0.0	   0.0
   0.0	   0.0	   0.0	   0.0	   0.0	   0.0
