System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Metallic_NEW"
Test type,,"Compression"
Sample file name,,"N02D7075"
Last test date,,"8/31/2026"
Last test time,,"5:12:46 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"ALUMINUM 7075"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"2.50"
Geometry,,"Circular"
Diameter,(mm),"12.71"
Length,(mm),"40.10"
Extensometer Gage Length,(mm),"25.40"
Rockwell Hardness,,"89.4"
Rockwell Scale,,"HRB"
Final Diameter,,"12.73"
Final Length,,"39.87"
Final Specimen State,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"65.48"
Maximum Strain,(%),"0.9936"

Time,Displacement,Force,Composite strain
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.00002012","0.00004995"
"0.50","0.02","0.0003405","0.00005058"
"1.00","0.04","-0.0009257","0.00005532"
"1.50","0.06","-0.0008499","0.00004928"
"2.00","0.08","-0.002003","0.00004536"
"2.50","0.10","0.1458","0.00009803"
"3.00","0.13","0.5318","0.0002929"
"3.50","0.15","1.095","0.0003629"
"4.00","0.17","1.721","0.0004357"
"4.50","0.19","2.445","0.0004996"
"5.00","0.21","3.294","0.0005606"
"5.50","0.23","4.261","0.0006142"
"6.00","0.25","5.298","0.0006901"
"6.50","0.27","6.378","0.0007728"
"7.00","0.29","7.504","0.0008592"
"7.50","0.31","8.672","0.0009475"
"8.00","0.33","9.877","0.001043"
"8.50","0.35","11.10","0.001149"
"9.00","0.38","12.36","0.001246"
"9.50","0.40","13.62","0.001358"
"10.00","0.42","14.89","0.001462"
"10.50","0.44","16.17","0.001575"
"11.00","0.46","17.48","0.001674"
"11.50","0.48","18.80","0.001791"
"12.00","0.50","20.11","0.001904"
"12.50","0.52","21.46","0.002021"
"13.00","0.54","22.80","0.002134"
"13.50","0.56","24.13","0.002244"
"14.00","0.58","25.46","0.002377"
"14.50","0.60","26.79","0.002516"
"15.00","0.62","28.15","0.002681"
"15.50","0.65","29.52","0.002826"
"16.00","0.67","30.89","0.002968"
"16.50","0.69","32.26","0.003108"
"17.00","0.71","33.64","0.003255"
"17.50","0.73","35.00","0.003405"
"18.00","0.75","36.39","0.003548"
"18.50","0.77","37.78","0.003699"
"19.00","0.79","39.16","0.003843"
"19.50","0.81","40.55","0.004003"
"20.00","0.83","41.92","0.004148"
"20.50","0.85","43.29","0.004299"
"21.00","0.88","44.67","0.004442"
"21.50","0.90","46.05","0.004578"
"22.00","0.92","47.43","0.004732"
"22.50","0.94","48.80","0.004863"
"23.00","0.96","50.15","0.005024"
"23.50","0.98","51.50","0.005170"
"24.00","1.00","52.80","0.005327"
"24.50","1.02","54.08","0.005501"
"25.00","1.04","55.31","0.005680"
"25.50","1.06","56.50","0.005862"
"26.00","1.08","57.62","0.006075"
"26.50","1.10","58.67","0.006295"
"27.00","1.13","59.64","0.006555"
"27.50","1.15","60.54","0.006818"
"28.00","1.17","61.34","0.007113"
"28.50","1.19","62.07","0.007428"
"29.00","1.21","62.74","0.007760"
"29.50","1.23","63.33","0.008108"
"30.00","1.25","63.88","0.008471"
"30.50","1.27","64.36","0.008848"
"31.00","1.29","64.81","0.009244"
"31.50","1.31","65.21","0.009640"
"31.87","1.33","65.48","0.009936"

