System ID,,"4483C11306J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02C1045CR"
Last test date,,"9/14/2026"
Last test time,,"5:05:54 PM"
Course,,"N"
Lab Section Number,,"02"
Group,,"C"
Material,,"1045"
Heat Treatment,,"CR"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.26"
Grip Diameter,(mm),"12.78"
Rockwell Hardness,,"103.9"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.62"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"40.52"
Maximum Strain,(%),"12.21"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.01311","-0.000006211"
"0.50","0.03","0.7601","0.00009720"
"1.00","0.07","1.663","0.0002302"
"1.50","0.10","2.513","0.0003538"
"2.00","0.13","3.236","0.0004374"
"2.50","0.17","3.834","0.0005162"
"3.00","0.20","4.364","0.0005906"
"3.50","0.23","4.839","0.0006513"
"4.00","0.27","5.267","0.0007028"
"4.50","0.30","5.667","0.0007613"
"5.00","0.33","6.041","0.0008202"
"5.50","0.37","6.385","0.0008608"
"6.00","0.40","6.688","0.0009007"
"6.50","0.43","6.994","0.0009404"
"7.00","0.47","7.299","0.0009861"
"7.50","0.50","7.604","0.001033"
"8.00","0.53","7.914","0.001077"
"8.50","0.57","8.227","0.001121"
"9.00","0.60","8.540","0.001162"
"9.50","0.63","8.854","0.001209"
"10.00","0.67","9.161","0.001247"
"10.50","0.70","9.470","0.001303"
"11.00","0.73","9.776","0.001348"
"11.50","0.77","10.06","0.001384"
"12.00","0.80","10.36","0.001427"
"12.50","0.83","10.65","0.001472"
"13.00","0.87","10.95","0.001516"
"13.50","0.90","11.25","0.001567"
"14.00","0.93","11.55","0.001606"
"14.50","0.97","11.86","0.001656"
"15.00","1.00","12.16","0.001698"
"15.50","1.03","12.48","0.001748"
"16.00","1.07","12.79","0.001791"
"16.50","1.10","13.10","0.001836"
"17.00","1.13","13.42","0.001888"
"17.50","1.17","13.74","0.001931"
"18.00","1.20","14.06","0.001976"
"18.50","1.23","14.38","0.002030"
"19.00","1.27","14.71","0.002076"
"19.50","1.30","15.04","0.002119"
"20.00","1.33","15.36","0.002167"
"20.50","1.37","15.69","0.002219"
"21.00","1.40","16.02","0.002256"
"21.50","1.43","16.35","0.002307"
"22.00","1.47","16.69","0.002359"
"22.50","1.50","17.02","0.002396"
