System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D1018CR"
Last test date,,"9/14/2026"
Last test time,,"4:50:48 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"Steel 1018"
Heat Treatment,,"Cold-rolled"
Other Information,,"N/A"
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.14"
Grip Diameter,(mm),"12.70"
Rockwell Hardness,,"93.8"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.30"
Fracture Notes and Location,,"it broke"
Notes During Test,,"snap"

Results Table 1
,,"1"
Maximum Force,(kN),"27.92"
Maximum Strain,(%),"16.32"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.1332","0.000009851"
"0.50","0.03","0.6958","0.00009941"
"1.00","0.07","1.711","0.0002059"
"1.50","0.10","2.605","0.0003085"
"2.00","0.13","3.323","0.0003878"
"2.50","0.17","3.931","0.0004460"
"3.00","0.20","4.467","0.0005170"
"3.50","0.23","4.963","0.0005539"
"4.00","0.27","5.407","0.0006068"
"4.50","0.30","5.798","0.0006548"
"5.00","0.33","6.145","0.0006868"
"5.50","0.37","6.486","0.0007332"
"6.00","0.40","6.833","0.0007829"
"6.50","0.43","7.181","0.0008113"
"7.00","0.47","7.512","0.0008565"
"7.50","0.50","7.845","0.0009011"
"8.00","0.53","8.177","0.0009330"
"8.50","0.57","8.521","0.0009781"
"9.00","0.60","8.859","0.001021"
"9.50","0.63","9.181","0.001056"
"10.00","0.67","9.513","0.001097"
"10.50","0.70","9.849","0.001139"
"11.00","0.73","10.18","0.001172"
"11.50","0.77","10.49","0.001211"
"12.00","0.80","10.82","0.001261"
"12.50","0.83","11.13","0.001299"
"13.00","0.87","11.43","0.001333"
"13.50","0.90","11.73","0.001370"
"14.00","0.93","12.02","0.001410"
"14.50","0.97","12.32","0.001445"
"15.00","1.00","12.63","0.001488"
"15.50","1.03","12.93","0.001515"
"16.00","1.07","13.24","0.001556"
"16.50","1.10","13.54","0.001601"
"17.00","1.13","13.86","0.001642"
"17.50","1.17","14.15","0.001673"
"18.00","1.20","14.47","0.001713"
"18.50","1.23","14.76","0.001747"
"19.00","1.27","15.08","0.001787"
"19.50","1.30","15.38","0.001820"
"20.00","1.33","15.71","0.001866"
"20.50","1.37","16.02","0.001907"
"21.00","1.40","16.34","0.001939"
"21.50","1.43","16.65","0.001973"
"22.00","1.47","16.98","0.002022"
"22.50","1.50","17.29","0.002060"
"23.00","1.53","17.61","0.002099"
"23.50","1.57","17.93","0.002130"
"24.00","1.60","18.25","0.002172"
"24.50","1.63","18.59","0.002218"
"25.00","1.67","18.91","0.002265"
"25.50","1.70","19.24","0.002308"
"26.00","1.73","19.55","0.002341"
"26.50","1.77","19.89","0.002394"
"27.00","1.80","20.22","0.002442"
"27.50","1.83","20.55","0.002492"
"28.00","1.87","20.88","0.002532"
"28.50","1.90","21.20","0.002588"
"29.00","1.93","21.53","0.002656"
"29.50","1.97","21.84","0.002703"
"30.00","2.00","22.17","0.002779"
"30.50","2.03","22.50","0.002853"
"31.00","2.07","22.81","0.002937"
"31.50","2.10","23.13","0.003039"
"32.00","2.13","23.44","0.003123"
"32.50","2.17","23.74","0.003234"
"33.00","2.20","24.04","0.003362"
"33.50","2.23","24.33","0.003509"
"34.00","2.27","24.61","0.003669"
"34.50","2.30","24.88","0.003861"
"35.00","2.33","25.15","0.004073"
"35.50","2.37","25.40","0.004295"
"36.00","2.40","25.64","0.004571"
"36.50","2.43","25.86","0.004858"
"37.00","2.47","26.08","0.005171"
"37.50","2.50","26.27","0.005523"
"38.00","2.53","26.46","0.005890"
"38.50","2.57","26.65","0.006301"
"39.00","2.60","26.81","0.006741"
"39.50","2.63","26.96","0.007222"
"40.00","2.67","27.08","0.007747"
"40.50","2.70","27.20","0.008305"
"41.00","2.73","27.30","0.008923"
"41.50","2.77","27.38","0.009574"
"42.00","2.80","27.47","0.01027"
"42.50","2.83","27.52","0.01102"
"43.00","2.87","27.57","0.01180"
"43.50","2.90","27.62","0.01263"
"44.00","2.93","27.66","0.01346"
"44.50","2.97","27.68","0.01434"
"45.00","3.00","27.72","0.01521"
"45.50","3.03","27.76","0.01612"
"46.00","3.07","27.78","0.01704"
"46.50","3.10","27.79","0.01796"
"47.00","3.13","27.81","0.01889"
"47.50","3.17","27.84","0.01985"
"48.00","3.20","27.85","0.02080"
"48.50","3.23","27.87","0.02176"
"49.00","3.27","27.88","0.02273"
"49.50","3.30","27.89","0.02372"
"50.00","3.33","27.90","0.02471"
"50.50","3.37","27.91","0.02571"
"51.00","3.40","27.91","0.02673"
"51.50","3.43","27.92","0.02777"
"52.00","3.47","27.92","0.02882"
"52.50","3.50","27.92","0.02989"
"53.00","3.53","27.92","0.03096"
"53.50","3.57","27.91","0.03207"
"54.00","3.60","27.90","0.03319"
"54.50","3.63","27.89","0.03434"
"55.00","3.67","27.87","0.03551"
"55.50","3.70","27.84","0.03669"
"56.00","3.73","27.81","0.03790"
"56.50","3.77","27.79","0.03915"
"57.00","3.80","27.74","0.04040"
"57.50","3.83","27.68","0.04169"
"58.00","3.87","27.63","0.04300"
"58.50","3.90","27.57","0.04432"
"59.00","3.93","27.51","0.04564"
"59.50","3.97","27.44","0.04697"
"60.00","4.00","27.37","0.04831"
"60.50","4.03","27.27","0.04965"
"61.00","4.07","27.20","0.05100"
"61.50","4.10","27.12","0.05237"
"62.00","4.13","27.04","0.05373"
"62.50","4.17","26.96","0.05508"
"63.00","4.20","26.86","0.05643"
"63.50","4.23","26.76","0.05781"
"64.00","4.27","26.68","0.05917"
"64.50","4.30","26.60","0.06054"
"65.00","4.33","26.51","0.06190"
"65.50","4.37","26.42","0.06327"
"66.00","4.40","26.33","0.06464"
"66.50","4.43","26.24","0.06601"
"67.00","4.47","26.13","0.06739"
"67.50","4.50","26.05","0.06877"
"68.00","4.53","25.96","0.07013"
"68.50","4.57","25.87","0.07151"
"69.00","4.60","25.78","0.07287"
"69.50","4.63","25.69","0.07425"
"70.00","4.67","25.61","0.07562"
"70.50","4.70","25.51","0.07700"
"71.00","4.73","25.41","0.07837"
"71.50","4.77","25.32","0.07975"
"72.00","4.80","25.22","0.08110"
"72.50","4.83","25.13","0.08249"
"73.00","4.87","25.03","0.08386"
"73.50","4.90","24.94","0.08523"
"74.00","4.93","24.85","0.08661"
"74.50","4.97","24.76","0.08798"
"75.00","5.00","24.66","0.08936"
"75.50","5.03","24.57","0.09074"
"76.00","5.07","24.47","0.09212"
"76.50","5.10","24.37","0.09351"
"77.00","5.13","24.27","0.09488"
"77.50","5.17","24.17","0.09627"
"78.00","5.20","24.06","0.09765"
"78.50","5.23","23.97","0.09904"
"79.00","5.27","23.86","0.1004"
"79.50","5.30","23.76","0.1018"
"80.00","5.33","23.66","0.1032"
"80.50","5.37","23.55","0.1046"
"81.00","5.40","23.44","0.1060"
"81.50","5.43","23.35","0.1074"
"82.00","5.47","23.22","0.1087"
"82.50","5.50","23.13","0.1101"
"83.00","5.53","23.02","0.1115"
"83.50","5.57","22.91","0.1129"
"84.00","5.60","22.79","0.1143"
"84.50","5.63","22.68","0.1157"
"85.00","5.67","22.57","0.1171"
"85.50","5.70","22.45","0.1185"
"86.00","5.73","22.33","0.1199"
"86.50","5.77","22.21","0.1213"
"87.00","5.80","22.10","0.1227"
"87.50","5.83","21.98","0.1241"
"88.00","5.87","21.84","0.1255"
"88.50","5.90","21.72","0.1269"
"89.00","5.93","21.60","0.1283"
"89.50","5.97","21.48","0.1297"
"90.00","6.00","21.35","0.1311"
"90.50","6.03","21.20","0.1325"
"91.00","6.07","21.08","0.1339"
"91.50","6.10","20.93","0.1354"
"92.00","6.13","20.79","0.1368"
"92.50","6.17","20.66","0.1382"
"93.00","6.20","20.52","0.1396"
"93.50","6.23","20.37","0.1411"
"94.00","6.27","20.23","0.1425"
"94.50","6.30","20.08","0.1439"
"95.00","6.33","19.92","0.1454"
"95.50","6.37","19.76","0.1468"
"96.00","6.40","19.61","0.1482"
"96.50","6.43","19.46","0.1497"
"97.00","6.47","19.28","0.1511"
"97.50","6.50","19.12","0.1526"
"98.00","6.53","18.94","0.1540"
"98.50","6.57","18.77","0.1555"
"99.00","6.60","18.60","0.1570"
"99.50","6.63","18.41","0.1584"
"99.95","6.66","10.66","0.1632"

