System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D1018"
Last test date,,"9/14/2026"
Last test time,,"5:31:06 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"Steel 1018"
Heat Treatment,,"N/A"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.14"
Grip Diameter,(mm),"12.68"
Rockwell Hardness,,"99.8"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"3.57"
Fracture Notes and Location,,"Different material than named on file. Labeled as Steel 1018 with no treatment, the sample is ACTUALLY 304SS with no treatment"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"28.09"
Maximum Strain,(%),"54.60"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.19","-0.04141","-0.00002634"
"0.50","0.22","0.5354","0.00003871"
"1.00","0.25","1.488","0.0001591"
"1.50","0.29","2.371","0.0002747"
"2.00","0.32","3.138","0.0003728"
"2.50","0.35","3.737","0.0004512"
"3.00","0.39","4.244","0.0005317"
"3.50","0.42","4.715","0.0005995"
"4.00","0.45","5.119","0.0006457"
"4.50","0.49","5.502","0.0007043"
"5.00","0.52","5.840","0.0007581"
"5.50","0.55","6.121","0.0008091"
"6.00","0.59","6.407","0.0008475"
"6.50","0.62","6.681","0.0009055"
"7.00","0.65","6.945","0.0009428"
"7.50","0.69","7.225","0.001005"
"8.00","0.72","7.504","0.001047"
"8.50","0.75","7.750","0.001099"
"9.00","0.79","8.000","0.001156"
"9.50","0.82","8.254","0.001191"
"10.00","0.85","8.513","0.001249"
"10.50","0.89","8.764","0.001289"
"11.00","0.92","9.041","0.001354"
"11.50","0.95","9.306","0.001404"
"12.00","0.99","9.576","0.001441"
"12.50","1.02","9.828","0.001517"
"13.00","1.05","10.10","0.001560"
"13.50","1.09","10.39","0.001621"
"14.00","1.12","10.65","0.001682"
"14.50","1.15","10.93","0.001750"
"15.00","1.19","11.22","0.001809"
"15.50","1.22","11.49","0.001880"
"16.00","1.25","11.79","0.001941"
"16.50","1.29","12.06","0.002021"
"17.00","1.32","12.34","0.002096"
"17.50","1.35","12.63","0.002177"
"18.00","1.39","12.90","0.002245"
"18.50","1.42","13.20","0.002345"
"19.00","1.45","13.50","0.002409"
