System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D1045NM"
Last test date,,"9/14/2026"
Last test time,,"5:07:08 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"Steel 1045"
Heat Treatment,,"Normalized"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.00"
Grip Diameter,(mm),"12.58"
Rockwell Hardness,,"92.2"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.52"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"30.83"
Maximum Strain,(%),"25.65"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.07810","0.000007674"
"0.50","0.03","0.9262","0.0001141"
"1.00","0.07","1.788","0.0002202"
"1.50","0.10","2.371","0.0002926"
"2.00","0.13","2.806","0.0003543"
"2.50","0.17","3.190","0.0003907"
"3.00","0.20","3.524","0.0004404"
"3.50","0.23","3.826","0.0004719"
"4.00","0.27","4.096","0.0005089"
"4.50","0.30","4.370","0.0005410"
"5.00","0.33","4.639","0.0005848"
"5.50","0.37","4.899","0.0006143"
"6.00","0.40","5.165","0.0006583"
"6.50","0.43","5.430","0.0006840"
"7.00","0.47","5.692","0.0007224"
"7.50","0.50","5.933","0.0007487"
"8.00","0.53","6.193","0.0007938"
"8.50","0.57","6.449","0.0008232"
"9.00","0.60","6.710","0.0008524"
"9.50","0.63","6.963","0.0008989"
"10.00","0.67","7.225","0.0009184"
"10.50","0.70","7.460","0.0009469"
"11.00","0.73","7.715","0.0009974"
"11.50","0.77","7.967","0.001026"
"12.00","0.80","8.203","0.001053"
"12.50","0.83","8.483","0.001095"
"13.00","0.87","8.743","0.001129"
"13.50","0.90","9.007","0.001164"
"14.00","0.93","9.262","0.001195"
"14.50","0.97","9.540","0.001236"
"15.00","1.00","9.824","0.001259"
"15.50","1.03","10.08","0.001309"
"16.00","1.07","10.36","0.001336"
"16.50","1.10","10.65","0.001371"
"17.00","1.13","10.92","0.001411"
"17.50","1.17","11.21","0.001441"
"18.00","1.20","11.49","0.001480"
"18.50","1.23","11.78","0.001514"
"19.00","1.27","12.06","0.001556"
"19.50","1.30","12.34","0.001593"
"20.00","1.33","12.64","0.001632"
"20.50","1.37","12.93","0.001655"
"21.00","1.40","13.23","0.001705"
"21.50","1.43","13.54","0.001738"
"22.00","1.47","13.84","0.001778"
"22.50","1.50","14.14","0.001814"
"23.00","1.53","14.43","0.001848"
"23.50","1.57","14.74","0.001891"
"24.00","1.60","15.04","0.001938"
"24.50","1.63","15.36","0.001970"
"25.00","1.67","15.65","0.002009"
"25.50","1.70","15.96","0.002047"
"26.00","1.73","16.26","0.002084"
"26.50","1.77","16.58","0.002124"
"27.00","1.80","16.89","0.002168"
"27.50","1.83","17.21","0.002198"
"28.00","1.87","17.52","0.002244"
"28.50","1.90","17.86","0.002285"
"29.00","1.93","18.16","0.002320"
"29.50","1.97","18.49","0.002359"
"30.00","2.00","18.80","0.002398"
