System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02D2024"
Last test date,,"9/14/2026"
Last test time,,"5:17:45 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"Aluminum 2024"
Heat Treatment,,"N/A"
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.15"
Grip Diameter,(mm),"12.68"
Rockwell Hardness,,"73.2"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"6.01"
Fracture Notes and Location,,"cup and cone fracture"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"19.55"
Maximum Strain,(%),"21.51"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.08120","0.000002642"
"0.50","0.03","0.3834","0.0001590"
"1.00","0.07","0.8639","0.0003107"
"1.50","0.10","1.092","0.0003886"
"2.00","0.13","1.274","0.0004360"
"2.50","0.17","1.408","0.0004881"
"3.00","0.20","1.537","0.0005395"
"3.50","0.23","1.661","0.0005625"
"4.00","0.27","1.769","0.0006041"
"4.50","0.30","1.894","0.0006479"
"5.00","0.33","2.008","0.0007001"
"5.50","0.37","2.131","0.0007184"
"6.00","0.40","2.256","0.0007541"
"6.50","0.43","2.374","0.0008019"
"7.00","0.47","2.494","0.0008496"
"7.50","0.50","2.605","0.0008780"
"8.00","0.53","2.729","0.0009269"
"8.50","0.57","2.846","0.0009545"
"9.00","0.60","2.971","0.001005"
"9.50","0.63","3.098","0.001051"
"10.00","0.67","3.212","0.001095"
"10.50","0.70","3.336","0.001134"
"11.00","0.73","3.455","0.001172"
"11.50","0.77","3.584","0.001220"
"12.00","0.80","3.719","0.001278"
"12.50","0.83","3.848","0.001318"
"13.00","0.87","3.981","0.001363"
"13.50","0.90","4.125","0.001398"
"14.00","0.93","4.248","0.001450"
"14.50","0.97","4.399","0.001492"
"15.00","1.00","4.534","0.001550"
"15.50","1.03","4.682","0.001579"
"16.00","1.07","4.823","0.001627"
"16.50","1.10","4.984","0.001679"
"17.00","1.13","5.130","0.001750"
"17.50","1.17","5.294","0.001802"
"18.00","1.20","5.456","0.001855"
"18.50","1.23","5.626","0.001906"
"19.00","1.27","5.789","0.001958"
"19.50","1.30","5.959","0.002021"
"20.00","1.33","6.123","0.002073"
"20.50","1.37","6.296","0.002134"
"21.00","1.40","6.472","0.002176"
"21.50","1.43","6.657","0.002235"
"22.00","1.47","6.837","0.002304"
"22.50","1.50","7.010","0.002376"
"23.00","1.53","7.207","0.002443"
"23.50","1.57","7.388","0.002483"
"24.00","1.60","7.572","0.002564"
"24.50","1.63","7.781","0.002620"
"25.00","1.67","7.965","0.002700"
"25.50","1.70","8.154","0.002744"
"26.00","1.73","8.359","0.002819"
"26.50","1.77","8.569","0.002889"
"27.00","1.80","8.763","0.002969"
"27.50","1.83","8.974","0.003035"
"28.00","1.87","9.189","0.003111"
"28.50","1.90","9.391","0.003165"
"29.00","1.93","9.613","0.003259"
"29.50","1.97","9.817","0.003331"
"30.00","2.00","10.03","0.003387"
"30.50","2.03","10.27","0.003466"
"31.00","2.07","10.48","0.003545"
"31.50","2.10","10.70","0.003614"
"32.00","2.13","10.91","0.003695"
"32.50","2.17","11.14","0.003779"
"33.00","2.20","11.36","0.003839"
"33.50","2.23","11.58","0.003928"
"34.00","2.27","11.82","0.004017"
"34.50","2.30","12.04","0.004090"
"35.00","2.33","12.27","0.004167"
"35.50","2.37","12.49","0.004245"
"36.00","2.40","12.72","0.004319"
"36.50","2.43","12.96","0.004411"
"37.00","2.47","13.19","0.004493"
"37.50","2.50","13.41","0.004556"
"38.00","2.53","13.66","0.004646"
"38.50","2.57","13.90","0.004736"
"39.00","2.60","14.11","0.004823"
"39.50","2.63","14.33","0.004949"
"40.00","2.67","14.52","0.005144"
"40.50","2.70","14.64","0.005503"
"41.00","2.73","14.74","0.005990"
"41.50","2.77","14.80","0.006563"
"42.00","2.80","14.86","0.007206"
"42.50","2.83","14.92","0.007875"
"43.00","2.87","14.96","0.008522"
"43.50","2.90","15.02","0.009161"
"44.00","2.93","15.06","0.009807"
"44.50","2.97","15.12","0.01047"
"45.00","3.00","15.16","0.01115"
"45.50","3.03","15.21","0.01182"
"46.00","3.07","15.26","0.01247"
"46.50","3.10","15.32","0.01311"
"47.00","3.13","15.36","0.01374"
"47.50","3.17","15.42","0.01434"
"48.00","3.20","15.47","0.01497"
"48.50","3.23","15.52","0.01560"
"49.00","3.27","15.57","0.01625"
"49.50","3.30","15.61","0.01689"
"50.00","3.33","15.67","0.01755"
"50.50","3.37","15.73","0.01818"
"51.00","3.40","15.77","0.01881"
"51.50","3.43","15.81","0.01943"
"52.00","3.47","15.87","0.02003"
"52.50","3.50","15.91","0.02065"
"53.00","3.53","15.97","0.02124"
"53.50","3.57","16.01","0.02185"
"54.00","3.60","16.06","0.02247"
"54.50","3.63","16.11","0.02309"
"55.00","3.67","16.16","0.02372"
"55.50","3.70","16.19","0.02437"
"56.00","3.73","16.24","0.02502"
"56.50","3.77","16.29","0.02565"
"57.00","3.80","16.34","0.02629"
"57.50","3.83","16.39","0.02692"
"58.00","3.87","16.42","0.02756"
"58.50","3.90","16.46","0.02818"
"59.00","3.93","16.50","0.02880"
"59.50","3.97","16.56","0.02941"
"60.00","4.00","16.60","0.03003"
"60.50","4.03","16.63","0.03066"
"61.00","4.07","16.69","0.03128"
"61.50","4.10","16.72","0.03189"
"62.00","4.13","16.76","0.03252"
"62.50","4.17","16.80","0.03316"
"63.00","4.20","16.83","0.03381"
"63.50","4.23","16.88","0.03446"
"64.00","4.27","16.92","0.03512"
"64.50","4.30","16.97","0.03578"
"65.00","4.33","17.00","0.03645"
"65.50","4.37","17.03","0.03712"
"66.00","4.40","17.07","0.03776"
"66.50","4.43","17.11","0.03842"
"67.00","4.47","17.14","0.03907"
"67.50","4.50","17.19","0.03972"
"68.00","4.53","17.22","0.04036"
"68.50","4.57","17.25","0.04099"
"69.00","4.60","17.29","0.04163"
"69.50","4.63","17.32","0.04226"
"70.00","4.67","17.35","0.04291"
"70.50","4.70","17.40","0.04354"
"71.00","4.73","17.42","0.04418"
"71.50","4.77","17.45","0.04484"
"72.00","4.80","17.50","0.04550"
"72.50","4.83","17.53","0.04616"
"73.00","4.87","17.55","0.04682"
"73.50","4.90","17.59","0.04752"
"74.00","4.93","17.61","0.04821"
"74.50","4.97","17.64","0.04889"
"75.00","5.00","17.67","0.04959"
"75.50","5.03","17.70","0.05029"
"76.00","5.07","17.73","0.05100"
"76.50","5.10","17.77","0.05170"
"77.00","5.13","17.81","0.05240"
"77.50","5.17","17.83","0.05308"
"78.00","5.20","17.85","0.05376"
"78.50","5.23","17.87","0.05445"
"79.00","5.27","17.90","0.05511"
"79.50","5.30","17.93","0.05578"
"80.00","5.33","17.96","0.05646"
"80.50","5.37","17.99","0.05711"
"81.00","5.40","18.01","0.05777"
"81.50","5.43","18.03","0.05843"
"82.00","5.47","18.06","0.05908"
"82.50","5.50","18.09","0.05973"
"83.00","5.53","18.12","0.06039"
"83.50","5.57","18.14","0.06106"
"84.00","5.60","18.16","0.06172"
"84.50","5.63","18.18","0.06240"
"85.00","5.67","18.22","0.06308"
"85.50","5.70","18.23","0.06378"
"86.00","5.73","18.25","0.06448"
"86.50","5.77","18.27","0.06521"
"87.00","5.80","18.30","0.06593"
"87.50","5.83","18.32","0.06667"
"88.00","5.87","18.34","0.06746"
"88.50","5.90","18.36","0.06822"
"89.00","5.93","18.38","0.06899"
"89.50","5.97","18.42","0.06976"
"90.00","6.00","18.44","0.07054"
"90.50","6.03","18.45","0.07132"
"91.00","6.07","18.47","0.07207"
"91.50","6.10","18.49","0.07283"
"92.00","6.13","18.52","0.07357"
"92.50","6.17","18.53","0.07428"
"93.00","6.20","18.56","0.07500"
"93.50","6.23","18.58","0.07570"
"94.00","6.27","18.59","0.07640"
"94.50","6.30","18.62","0.07708"
"95.00","6.33","18.63","0.07776"
"95.50","6.37","18.65","0.07843"
"96.00","6.40","18.66","0.07911"
"96.50","6.43","18.67","0.07978"
"97.00","6.47","18.68","0.08045"
"97.50","6.50","18.70","0.08112"
"98.00","6.53","18.73","0.08178"
"98.50","6.57","18.75","0.08243"
"99.00","6.60","18.77","0.08308"
"99.50","6.63","18.79","0.08373"
"100.00","6.67","18.80","0.08437"
"100.50","6.70","18.83","0.08500"
"101.00","6.73","18.84","0.08564"
"101.50","6.77","18.86","0.08629"
"102.00","6.80","18.87","0.08696"
"102.50","6.83","18.88","0.08764"
"103.00","6.87","18.89","0.08836"
"103.50","6.90","18.90","0.08910"
"104.00","6.93","18.91","0.08990"
"104.50","6.97","18.91","0.09071"
"105.00","7.00","18.91","0.09159"
"105.50","7.03","18.92","0.09250"
"106.00","7.07","18.93","0.09346"
"106.50","7.10","18.94","0.09440"
"107.00","7.13","18.96","0.09534"
"107.50","7.17","18.99","0.09629"
"108.00","7.20","19.01","0.09722"
"108.50","7.23","19.04","0.09815"
"109.00","7.27","19.06","0.09907"
"109.50","7.30","19.07","0.09997"
"110.00","7.33","19.08","0.1009"
"110.50","7.37","19.09","0.1017"
"111.00","7.40","19.10","0.1026"
"111.50","7.43","19.11","0.1034"
"112.00","7.47","19.13","0.1042"
"112.50","7.50","19.14","0.1050"
"113.00","7.53","19.14","0.1057"
"113.50","7.57","19.15","0.1064"
"114.00","7.60","19.16","0.1071"
"114.50","7.63","19.17","0.1078"
"115.00","7.67","19.18","0.1085"
"115.50","7.70","19.18","0.1092"
"116.00","7.73","19.20","0.1099"
"116.50","7.77","19.20","0.1106"
"117.00","7.80","19.21","0.1113"
"117.50","7.83","19.21","0.1120"
"118.00","7.87","19.22","0.1127"
"118.50","7.90","19.23","0.1135"
"119.00","7.93","19.23","0.1142"
"119.50","7.97","19.24","0.1150"
"120.00","8.00","19.24","0.1157"
"120.50","8.03","19.25","0.1163"
"121.00","8.07","19.26","0.1170"
"121.50","8.10","19.27","0.1175"
