System ID,,"4483C1713"
Method name only,,"Tension_Round_Reversals_Brass_NEW"
Test type,,"Tension TestProfiler"
Sample file name,,"N02DBR"
Last test date,,"9/14/2026"
Last test time,,"5:55:49 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"Brass"
Heat Treatment,,"N/A"
Other Information,,""
Geometry,,"Circular"
Gage Diameter,(mm),"7.08"
Grip Diameter,(mm),"12.58"
Rockwell Hardness,,"46.9"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter (at Neck),(mm),"4.88"
Uniform Gage Diameter in mm (away from Neck),,"6.03"
Final Hardness at Uniform Gage Diameter,,"67.1"
Rockwell Scale,,"HRB"
Fracture Notes and Location,,""
Notes During Test,,"when Rockwell B hardness test was applied, the final hardness nearly doubled from 67.1 to 126.6 HRB"

Results Table 1
,,"1"
Maximum Force,(kN),"14.76"
Maximum Strain,(%),"52.06"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.02837","0.000004586"
"0.50","0.03","0.7573","0.0001717"
"1.00","0.07","1.590","0.0003625"
"1.50","0.10","2.375","0.0005324"
"2.00","0.13","3.136","0.0007261"
"2.50","0.17","3.857","0.0008975"
"3.00","0.20","4.533","0.001053"
"3.38","0.23","5.002","0.001195"
"3.38","0.23","5.004","0.001192"
"3.50","0.23","5.126","0.001259"
"4.00","0.20","4.210","0.001080"
"4.50","0.17","3.242","0.0008514"
"5.00","0.13","2.346","0.0006414"
"5.50","0.10","1.502","0.0004362"
"5.83","0.08","1.001","0.0003134"
"5.83","0.08","0.9979","0.0003119"
"5.83","0.08","0.9947","0.0003104"
"6.33","0.11","1.758","0.0004873"
"6.83","0.14","2.694","0.0007035"
"7.33","0.18","3.588","0.0009151"
"7.83","0.21","4.465","0.001122"
"8.33","0.24","5.259","0.001361"
"8.83","0.28","5.423","0.002166"
"9.33","0.31","5.425","0.003394"
"9.83","0.34","5.437","0.004465"
"10.33","0.38","5.452","0.005154"
"10.83","0.41","5.476","0.005787"
"11.33","0.44","5.526","0.006424"
"11.83","0.48","5.575","0.007047"
"12.33","0.51","5.638","0.007671"
"12.83","0.54","5.686","0.008344"
"13.33","0.58","5.751","0.009016"
"13.83","0.61","5.822","0.009660"
"14.33","0.64","5.867","0.01033"
"14.83","0.68","5.935","0.01101"
"15.33","0.71","5.991","0.01166"
"15.83","0.74","6.048","0.01233"
"16.33","0.78","6.099","0.01299"
"16.83","0.81","6.154","0.01364"
"17.33","0.84","6.215","0.01430"
"17.83","0.88","6.270","0.01496"
"18.33","0.91","6.309","0.01561"
"18.83","0.94","6.367","0.01626"
"19.33","0.98","6.419","0.01691"
"19.83","1.01","6.467","0.01755"
"20.33","1.04","6.513","0.01820"
"20.83","1.08","6.568","0.01883"
"21.33","1.11","6.609","0.01947"
"21.76","1.14","6.655","0.02000"
"21.76","1.14","6.655","0.02001"
"21.80","1.14","6.656","0.02005"
"22.30","1.11","5.726","0.01994"
"22.80","1.08","4.810","0.01970"
"23.30","1.04","3.961","0.01945"
"23.80","1.01","3.165","0.01920"
"24.30","0.98","2.445","0.01896"
"24.80","0.94","1.831","0.01873"
"25.30","0.91","1.246","0.01850"
"25.51","0.89","0.9980","0.01838"
"25.51","0.89","0.9955","0.01838"
"25.52","0.89","0.9930","0.01837"
"26.02","0.93","1.771","0.01855"
"26.52","0.96","2.667","0.01877"
"27.02","0.99","3.511","0.01900"
"27.52","1.03","4.330","0.01925"
"28.02","1.06","5.104","0.01949"
"28.52","1.09","5.822","0.01975"
"29.02","1.13","6.368","0.01999"
"29.52","1.16","6.717","0.02027"
"30.02","1.19","6.761","0.02084"
"30.52","1.23","6.776","0.02151"
"31.02","1.26","6.812","0.02217"
"31.52","1.29","6.861","0.02282"
"32.02","1.33","6.897","0.02349"
"32.52","1.36","6.925","0.02412"
"33.02","1.39","6.968","0.02476"
"33.52","1.43","7.007","0.02540"
"34.02","1.46","7.061","0.02603"
"34.52","1.49","7.095","0.02667"
"35.02","1.53","7.128","0.02731"
"35.52","1.56","7.181","0.02793"
"36.02","1.59","7.215","0.02857"
"36.52","1.63","7.247","0.02919"
"37.02","1.66","7.288","0.02983"
"37.52","1.69","7.322","0.03047"
"38.02","1.73","7.363","0.03110"
"38.52","1.76","7.401","0.03173"
"39.02","1.79","7.443","0.03236"
"39.52","1.83","7.491","0.03301"
"40.02","1.86","7.513","0.03364"
"40.52","1.89","7.534","0.03427"
"41.02","1.93","7.577","0.03491"
"41.52","1.96","7.619","0.03555"
"42.02","1.99","7.660","0.03618"
"42.52","2.03","7.693","0.03681"
"43.02","2.06","7.725","0.03744"
"43.52","2.09","7.761","0.03808"
"44.02","2.13","7.801","0.03871"
"44.52","2.16","7.820","0.03934"
"45.02","2.19","7.851","0.03997"
"45.52","2.23","7.894","0.04061"
"46.02","2.26","7.925","0.04123"
"46.52","2.29","7.953","0.04187"
"47.02","2.33","7.991","0.04250"
"47.52","2.36","8.027","0.04313"
"48.02","2.39","8.060","0.04377"
"48.52","2.43","8.097","0.04439"
"49.02","2.46","8.121","0.04503"
"49.52","2.49","8.135","0.04565"
"50.02","2.53","8.171","0.04628"
"50.52","2.56","8.212","0.04691"
