System ID,,"4483C1713"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02DPMMA"
Last test date,,"9/14/2026"
Last test time,,"5:41:39 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"PMMA"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.99"
Grip Diameter,(mm),"12.74"
Rockwell Hardness,,"0.0"
Rockwell Scale,,"<None>"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"7.40"
Fracture Notes and Location,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"3.470"
Maximum Strain,(%),"16.39"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.06068","-0.00002383"
"0.50","0.03","0.02638","0.0004205"
"1.00","0.07","0.09723","0.0008993"
"1.50","0.10","0.1718","0.001347"
"2.00","0.13","0.2436","0.001800"
"2.50","0.17","0.3174","0.002263"
"3.00","0.20","0.3825","0.002714"
"3.50","0.23","0.4571","0.003158"
"4.00","0.27","0.5225","0.003599"
"4.50","0.30","0.5812","0.004068"
"5.00","0.33","0.6525","0.004487"
"5.50","0.37","0.7200","0.004920"
"6.00","0.40","0.7718","0.005356"
"6.50","0.43","0.8430","0.005792"
"7.00","0.47","0.8951","0.006239"
"7.50","0.50","0.9595","0.006669"
"8.00","0.53","1.024","0.007099"
"8.50","0.57","1.075","0.007515"
"9.00","0.60","1.133","0.007927"
"9.50","0.63","1.182","0.008368"
"10.00","0.67","1.246","0.008792"
"10.50","0.70","1.302","0.009203"
"11.00","0.73","1.351","0.009603"
"11.50","0.77","1.400","0.01005"
"12.00","0.80","1.459","0.01045"
"12.50","0.83","1.501","0.01086"
"13.00","0.87","1.558","0.01127"
"13.50","0.90","1.603","0.01168"
"14.00","0.93","1.656","0.01209"
"14.50","0.97","1.697","0.01248"
"15.00","1.00","1.743","0.01289"
"15.50","1.03","1.782","0.01329"
"16.00","1.07","1.828","0.01369"
"16.50","1.10","1.880","0.01406"
"17.00","1.13","1.912","0.01443"
"17.50","1.17","1.948","0.01481"
"18.00","1.20","1.981","0.01515"
"18.50","1.23","2.010","0.01549"
"19.00","1.27","2.039","0.01580"
"19.50","1.30","2.071","0.01613"
"20.00","1.33","2.106","0.01644"
"20.50","1.37","2.128","0.01677"
"21.00","1.40","2.158","0.01709"
"21.50","1.43","2.188","0.01738"
"22.00","1.47","2.212","0.01771"
"22.50","1.50","2.234","0.01801"
"23.00","1.53","2.269","0.01833"
"23.50","1.57","2.291","0.01859"
"24.00","1.60","2.309","0.01890"
"24.50","1.63","2.330","0.01921"
"25.00","1.67","2.353","0.01950"
"25.50","1.70","2.379","0.01979"
"26.00","1.73","2.402","0.02009"
"26.50","1.77","2.421","0.02037"
"27.00","1.80","2.439","0.02068"
"27.50","1.83","2.470","0.02099"
"28.00","1.87","2.492","0.02129"
"28.50","1.90","2.515","0.02160"
"29.00","1.93","2.535","0.02192"
"29.50","1.97","2.555","0.02223"
"30.00","2.00","2.578","0.02255"
"30.50","2.03","2.594","0.02287"
"31.00","2.07","2.615","0.02320"
"31.50","2.10","2.635","0.02353"
"32.00","2.13","2.663","0.02386"
"32.50","2.17","2.688","0.02420"
"33.00","2.20","2.705","0.02453"
"33.50","2.23","2.728","0.02487"
"34.00","2.27","2.743","0.02522"
"34.50","2.30","2.764","0.02557"
"35.00","2.33","2.786","0.02593"
"35.50","2.37","2.808","0.02628"
"36.00","2.40","2.827","0.02664"
"36.50","2.43","2.842","0.02702"
"37.00","2.47","2.862","0.02738"
"37.50","2.50","2.887","0.02777"
"38.00","2.53","2.903","0.02812"
"38.50","2.57","2.922","0.02852"
"39.00","2.60","2.944","0.02891"
"39.50","2.63","2.958","0.02930"
"40.00","2.67","2.975","0.02969"
"40.50","2.70","2.991","0.03008"
"41.00","2.73","3.007","0.03050"
"41.50","2.77","3.025","0.03090"
"42.00","2.80","3.039","0.03131"
"42.50","2.83","3.053","0.03173"
"43.00","2.87","3.075","0.03216"
"43.50","2.90","3.093","0.03258"
"44.00","2.93","3.112","0.03301"
"44.50","2.97","3.125","0.03345"
"45.00","3.00","3.139","0.03390"
"45.50","3.03","3.154","0.03435"
"46.00","3.07","3.166","0.03481"
"46.50","3.10","3.180","0.03524"
"47.00","3.13","3.195","0.03571"
"47.50","3.17","3.210","0.03619"
"48.00","3.20","3.222","0.03666"
"48.50","3.23","3.236","0.03714"
"49.00","3.27","3.247","0.03761"
"49.50","3.30","3.256","0.03811"
"50.00","3.33","3.267","0.03860"
"50.50","3.37","3.281","0.03911"
"51.00","3.40","3.295","0.03960"
"51.50","3.43","3.306","0.04011"
"52.00","3.47","3.315","0.04063"
"52.50","3.50","3.325","0.04115"
"53.00","3.53","3.335","0.04168"
"53.50","3.57","3.346","0.04220"
"54.00","3.60","3.353","0.04273"
"54.50","3.63","3.361","0.04328"
"55.00","3.67","3.368","0.04382"
"55.50","3.70","3.375","0.04436"
"56.00","3.73","3.382","0.04492"
"56.50","3.77","3.390","0.04548"
"57.00","3.80","3.397","0.04605"
"57.50","3.83","3.404","0.04661"
"58.00","3.87","3.409","0.04719"
"58.50","3.90","3.415","0.04776"
"59.00","3.93","3.421","0.04836"
"59.50","3.97","3.425","0.04896"
"60.00","4.00","3.431","0.04955"
"60.50","4.03","3.436","0.05015"
"61.00","4.07","3.440","0.05075"
"61.50","4.10","3.444","0.05138"
"62.00","4.13","3.447","0.05199"
"62.50","4.17","3.450","0.05262"
"63.00","4.20","3.453","0.05324"
"63.50","4.23","3.456","0.05388"
"64.00","4.27","3.460","0.05450"
"64.50","4.30","3.461","0.05516"
"65.00","4.33","3.462","0.05581"
"65.50","4.37","3.465","0.05647"
"66.00","4.40","3.466","0.05712"
"66.50","4.43","3.467","0.05779"
"67.00","4.47","3.468","0.05845"
"67.50","4.50","3.468","0.05913"
"68.00","4.53","3.469","0.05979"
"68.50","4.57","3.470","0.06048"
"69.00","4.60","3.470","0.06115"
"69.50","4.63","3.469","0.06184"
"70.00","4.67","3.469","0.06253"
"70.50","4.70","3.467","0.06323"
"71.00","4.73","3.466","0.06392"
"71.50","4.77","3.464","0.06463"
"72.00","4.80","3.463","0.06535"
"72.50","4.83","3.461","0.06606"
"73.00","4.87","3.459","0.06677"
"73.50","4.90","3.456","0.06749"
"74.00","4.93","3.454","0.06821"
"74.50","4.97","3.452","0.06894"
"75.00","5.00","3.451","0.06967"
"75.50","5.03","3.447","0.07040"
"76.00","5.07","3.445","0.07114"
"76.50","5.10","3.443","0.07187"
"77.00","5.13","3.439","0.07260"
"77.50","5.17","3.436","0.07335"
"78.00","5.20","3.433","0.07410"
"78.50","5.23","3.429","0.07484"
"79.00","5.27","3.425","0.07559"
"79.50","5.30","3.423","0.07635"
"80.00","5.33","3.419","0.07710"
"80.50","5.37","3.414","0.07787"
