System ID,,"4483C11306J"
Method name only,,"Tension_Round_NEW"
Test type,,"Tension"
Sample file name,,"N02C7075"
Last test date,,"9/14/2026"
Last test time,,"5:16:49 PM"
Course,,"N"
Lab Section Number,,"02"
Group,,"C"
Material,,"7075"
Heat Treatment,,""
Other Information,,""
Crosshead Speed,(mm/min),"4.00"
Geometry,,"Circular"
Gage Diameter,(mm),"7.23"
Grip Diameter,(mm),"12.82"
Rockwell Hardness,,"87.3"
Rockwell Scale,,"HRB"
Extensometer Gage Length,(mm),"25.40"
Final Gage Diameter,(mm),"5.94"
Fracture Notes and Location,,""
Notes During Test,,"Zinc alloy"

Results Table 1
,,"1"
Maximum Force,(kN),"22.50"
Maximum Strain,(%),"17.78"

Time,Displacement,Force,Strain 1
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.1071","0.00002023"
"0.50","0.03","0.7072","0.0002439"
"1.00","0.07","1.379","0.0004971"
"1.50","0.10","2.032","0.0007375"
"2.00","0.13","2.650","0.0009792"
"2.50","0.17","3.254","0.001205"
"3.00","0.20","3.838","0.001427"
"3.50","0.23","4.398","0.001638"
"4.00","0.27","4.942","0.001843"
"4.50","0.30","5.469","0.002045"
"5.00","0.33","5.981","0.002226"
"5.50","0.37","6.477","0.002426"
"6.00","0.40","6.959","0.002610"
"6.50","0.43","7.426","0.002795"
"7.00","0.47","7.871","0.002965"
"7.50","0.50","8.300","0.003136"
"8.00","0.53","8.712","0.003297"
"8.50","0.57","9.077","0.003438"
"9.00","0.60","9.395","0.003563"
"9.50","0.63","9.703","0.003683"
"10.00","0.67","10.00","0.003805"
"10.50","0.70","10.31","0.003925"
"11.00","0.73","10.61","0.004041"
"11.50","0.77","10.91","0.004164"
"12.00","0.80","11.21","0.004283"
"12.50","0.83","11.51","0.004399"
"13.00","0.87","11.81","0.004528"
"13.50","0.90","12.11","0.004645"
"14.00","0.93","12.40","0.004769"
"14.50","0.97","12.68","0.004877"
"15.00","1.00","12.96","0.004993"
"15.50","1.03","13.24","0.005119"
