System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Metallic_NEW"
Test type,,"Compression"
Sample file name,,"N02D1018CR"
Last test date,,"8/31/2026"
Last test time,,"4:43:09 PM"
Course,,"NPRE 432"
Lab Section Number,,"02"
Group,,"D"
Material,,"Steel 1018"
Heat Treatment,,"CR"
Other Information,,""
Crosshead Speed,(mm/min),"2.50"
Geometry,,"Circular"
Diameter,(mm),"12.68"
Length,(mm),"39.96"
Extensometer Gage Length,(mm),"25.40"
Rockwell Hardness,,"97.5"
Rockwell Scale,,"HRB"
Final Diameter,,"12.67"
Final Length,,"39.83"
Final Specimen State,,""
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"75.89"
Maximum Strain,(%),"0.3846"

Time,Displacement,Force,Composite strain
(s),(mm),(kN),(mm/mm)
"0.00","0.00","0.00007246","0.00002562"
"0.50","0.02","0.1981","0.00002885"
"1.00","0.04","0.6990","0.00005235"
"1.50","0.06","1.259","0.00008555"
"2.00","0.08","1.845","0.0001314"
"2.50","0.10","2.453","0.0001687"
"3.00","0.13","3.301","0.0002465"
"3.50","0.15","4.316","0.0003216"
"4.00","0.17","5.453","0.0004082"
"4.50","0.19","6.701","0.0004812"
"5.00","0.21","8.056","0.0005355"
"5.50","0.23","9.449","0.0005871"
"6.00","0.25","10.88","0.0006319"
"6.50","0.27","12.31","0.0006774"
"7.00","0.29","13.80","0.0007283"
"7.50","0.31","15.33","0.0007709"
"8.00","0.33","16.87","0.0008129"
"8.50","0.35","18.43","0.0008699"
"9.00","0.37","20.01","0.0009129"
"9.50","0.40","21.60","0.0009631"
"10.00","0.42","23.19","0.001014"
"10.50","0.44","24.79","0.001057"
"11.00","0.46","26.41","0.001113"
"11.50","0.48","28.05","0.001174"
"12.00","0.50","29.68","0.001215"
"12.50","0.52","31.33","0.001270"
"13.00","0.54","32.95","0.001322"
"13.50","0.56","34.61","0.001379"
"14.00","0.58","36.26","0.001429"
"14.50","0.60","37.93","0.001487"
"15.00","0.62","39.59","0.001536"
"15.50","0.65","41.20","0.001597"
"16.00","0.67","42.86","0.001655"
"16.50","0.69","44.52","0.001698"
"17.00","0.71","46.18","0.001762"
"17.50","0.73","47.83","0.001825"
"18.00","0.75","49.48","0.001882"
"18.50","0.77","51.16","0.001940"
"19.00","0.79","52.82","0.002002"
"19.50","0.81","54.47","0.002061"
"20.00","0.83","56.12","0.002120"
"20.50","0.85","57.73","0.002179"
"21.00","0.88","59.36","0.002249"
"21.50","0.90","60.94","0.002321"
"22.00","0.92","62.55","0.002383"
"22.50","0.94","64.10","0.002447"
"23.00","0.96","65.64","0.002516"
"23.50","0.98","67.13","0.002586"
"24.00","1.00","68.56","0.002659"
"24.50","1.02","69.88","0.002744"
"25.00","1.04","71.10","0.002837"
"25.50","1.06","72.19","0.002950"
"26.00","1.08","73.16","0.003100"
"26.50","1.10","74.01","0.003278"
"27.00","1.12","74.76","0.003468"
"27.50","1.15","75.44","0.003679"
"27.87","1.16","75.89","0.003846"

